logM, logSFR
10.23072, 0.5992171
10.06991, 0.7529106
10.21043, 0.6142269
10.68632, 1.016058
10.54142, 0.2174953
10.44078, 0.8715365
10.00625, 0.8341837
10.31075, 0.754724
10.80277, 0.1750392
10.00314, 0.7567156
10.37481, 1.075339
10.42408, 1.42105
10.88036, 0.7160829
10.18889, 0.6083773
10.72755, 1.352323
10.51672, 1.012127
10.1901, 0.5561243
10.50718, 1.120881
10.22297, 0.6960725
10.13981, 0.4287596
10.33118, -0.9417491
10.38299, 0.8476962
10.21329, -0.41785
10.22831, 0.931635
10.07001, 0.638328
10.56586, 0.236094
10.10787, 0.5439599
11.30821, -0.2101896
10.40551, 1.167446
10.27533, 1.186191
10.44059, 0.6885174
10.16685, 1.11585
10.87903, 0.4239715
10.03017, 0.884217
10.89654, 1.333693
10.6229, 1.211744
10.09486, 0.788019
10.15, 0.7787222
10.18183, 0.69933
10.18508, 0.3518649
10.43898, -0.6385981
10.29297, 0.7220915
10.24117, 0.6921458
10.08655, 0.3491666
10.54407, 0.9931127
10.31499, 0.3397798
10.22983, 0.7051488
10.14544, 0.7316177
10.14024, 1.078692
10.04641, 0.5370675
10.59669, -0.7948925
10.07469, 0.366003
10.18676, 0.6288874
10.97784, 1.779103
10.19095, 0.2930915
10.10772, 0.5615579
10.20787, 0.3848185
10.29174, 0.9298148
10.49262, 0.7920264
10.59383, 0.487858
10.89035, 0.5356879
10.10979, 1.012994
11.00929, 0.9552705
10.65549, 1.091257
10.21526, 0.2727578
10.29077, 0.1041891
10.80487, 1.18256
10.31744, 0.5219311
10.74543, 1.201414
10.0648, 0.4449908
10.0089, 0.793282
10.2317, 0.6627405
10.06134, 0.651309
10.00031, 0.583563
10.38669, 0.8055625
10.35473, 0.9765922
10.45537, 0.9037254
10.604, 1.417975
10.65952, 1.039248
10.40585, 1.02306
10.03792, 0.6373343
10.15797, -0.7756338
10.17763, 0.633563
10.49133, -1.318891
10.11319, 0.6263598
10.75927, 0.7169249
10.41723, 0.8694631
10.70288, 0.9533755
10.60731, 0.3794335
10.53581, 1.270993
10.35019, 0.7156252
10.24312, 0.7202511
10.80659, 0.3973342
10.54578, 1.025832
10.99828, 1.301316
10.54439, 1.10814
10.17997, 0.4359749
10.81053, -0.6742969
10.29375, 0.6687216
10.97482, 1.555776
11.01806, 1.122361
10.51079, 0.6429952
10.39715, -0.3232907
10.68191, -0.5245399
10.6565, -0.4772459
10.3399, 0.6719126
10.20521, 1.211667
10.88165, 1.48769
10.24547, 0.7260808
10.31056, 0.9877246
10.15329, 0.7579861
10.03331, 0.5968718
10.48651, 0.9442756
10.60798, 1.3504
10.69521, 1.108775
10.17985, 0.8695906
10.0876, 0.805041
10.51546, 0.36031
10.4922, 0.754025
10.2473, 0.8438113
10.48087, 0.5722657
10.18114, 0.6768074
10.67157, -0.8884522
10.31519, 0.9803733
10.23504, 0.6357144
10.01998, 0.4465967
10.13307, 0.6219709
10.27048, 0.4039839
10.01319, 0.7868921
10.40009, 0.8278783
10.18352, 0.4975544
10.38066, 1.043417
10.07223, 0.5498571
10.10213, 0.7227495
10.43834, -0.7343278
10.08133, 0.8550949
10.36866, 0.7546402
10.0896, 0.4178923
10.10349, 0.2687752
10.21366, 0.6939456
10.55069, 1.044523
10.84139, 0.1650905
10.39872, 0.6420395
10.78845, 0.7729655
10.15762, 0.2975566
10.04208, 0.9001079
10.04694, 0.6488128
10.3593, 0.7383876
10.10507, 0.9995984
10.16451, 0.7428197
10.53327, 0.9310312
10.22027, 0.7916839
10.48665, 0.2542266
10.65937, -0.8251752
10.46427, -0.9272246
10.18719, 0.9946297
10.93584, -0.4903553
10.29404, 0.4900001
10.40668, 0.9625347
10.04088, 0.7460706
10.57755, -0.8148355
10.49111, 1.001198
10.72933, 0.2206833
10.53029, 0.8142464
10.28431, 0.9835398
10.22277, 0.3768404
10.06345, 0.7208663
10.24084, 0.7717843
10.36132, 0.5496234
10.55573, 0.9753625
10.62979, 0.261594
10.61341, 0.9622401
10.09758, 0.8463001
10.58845, 0.9145927
10.51772, -0.3817405
10.26442, 1.056425
10.05739, 0.426217
10.38585, 0.6903364
10.80682, -0.8815262
10.17902, 0.6564592
10.37304, 0.9372169
10.35669, 0.8088236
10.28267, 0.7916349
10.19103, 0.6316645
10.45733, 1.034482
10.59444, 1.085823
10.39499, 0.7581456
10.61303, 0.9792042
10.01225, 0.497364
10.6324, 1.284919
10.88061, 0.514215
10.11888, -0.1426295
10.04585, 0.6548859
11.01052, 1.003913
10.53788, 1.209421
10.6101, 1.06757
10.14238, 0.3111992
10.32568, 0.3182541
10.05669, 0.5232109
10.2841, 1.236177
10.48851, -0.7608992
10.63844, 1.180485
10.3933, 0.4762234
10.1868, 0.6542615
10.28957, 0.7818986
10.05445, 0.9440018
10.35951, 0.5825243
10.20339, 0.5165663
10.46432, -0.3917136
10.20988, 0.7628756
10.31176, 0.7040079
10.81538, -0.3015786
10.42377, 0.9431454
10.08515, 0.4309745
10.09594, 0.3835849
10.99611, -0.2726089
10.00398, 0.6726893
10.65798, 1.161687
10.42894, 1.116005
10.19618, 0.7357714
10.88826, -0.1836076
11.31979, 1.247108
10.33187, 0.8504075
10.02896, 0.7171726
11.1474, 1.268479
10.22069, 0.02267606
10.28841, 0.3895888
10.84067, 0.8934281
10.14086, 0.8860465
10.12096, 0.5708792
10.49808, 0.3672658
10.10952, 0.7251159
10.09764, 0.9237686
11.00144, 1.603366
10.12807, 0.6524591
10.69144, 0.1067558
10.18936, -0.6032755
10.90037, 0.4907226
10.08551, 0.8612947
10.43071, 0.6686337
10.87995, -0.8818902
10.31463, 0.6433334
10.08607, 0.6293362
10.21616, 0.6599758
10.37662, -0.0144107
10.08623, 0.4805071
10.38348, 0.8584327
10.15137, 0.5841177
10.11473, 0.5317323
10.69214, -1.227571
10.23936, 0.3985817
10.06163, 0.5422094
10.70879, -0.2378533
11.02328, 1.061432
10.67882, 0.7225425
10.46349, 0.9100001
10.1991, 0.5712216
10.10725, 0.7425134
10.82584, -0.0006526692
10.38717, 1.004962
10.37441, 0.7617635
10.59514, 1.332835
10.9478, 0.9345399
10.11693, 0.5047538
10.04589, 0.2392772
11.06159, 0.8907306
10.51144, 1.119444
10.37318, 0.8661891
10.98473, 0.4454172
10.33661, 0.7976246
10.21895, -1.1752
10.05888, 0.152353
10.33803, 0.4063967
11.04512, -1.04945
10.70231, 0.7347268
10.15944, 0.6654168
10.2336, 0.6944863
10.69604, 0.7117149
10.18812, 0.8196348
10.42042, 0.8863028
10.22015, 0.6531892
10.27631, 0.8247453
10.12905, 0.2720322
10.16519, 0.3186047
10.47572, 0.04477511
10.20281, 0.6880906
10.63071, 1.573715
10.28285, 0.5602152
11.10344, 0.06234105
10.01573, 0.5964205
10.76095, 1.424927
10.40131, 0.7150714
10.58249, 0.9479629
10.03565, 1.046618
10.04213, 0.5725059
10.37819, 0.9088518
10.13838, 0.486087
10.78508, 1.188964
10.77252, 1.35477
10.78773, 1.415069
10.34071, 1.080494
10.5351, 1.06633
10.03041, 0.6672187
10.49522, 0.7209354
10.00085, 0.5074026
10.54609, 0.726227
10.39773, 0.6714617
10.32541, 0.7854534
10.01041, 0.2615
10.39532, 1.064722
10.76259, -0.750421
10.15007, 0.3171966
10.07655, 0.5016897
10.34795, 0.9043425
10.28421, 0.7629002
10.56954, -0.7511907
10.54184, 1.347725
10.11417, 0.8353333
10.42085, 0.5909609
10.88534, 1.656532
11.1077, 1.01164
10.93576, 0.551412
10.50593, -0.3507703
10.43295, 0.7981692
10.24234, 0.6078089
10.95113, 0.8738879
10.07838, 0.8133264
10.17979, 0.7571771
10.23142, -0.4197502
10.5743, 1.064664
10.10229, 0.5813861
10.32516, 0.6342574
10.57053, 0.9400749
